Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9
5,5,11,5,0,6,4,4,4,11
4,4,10,4,0,5,3,3,3,10
3,3,9,3,0,4,2,2,2,9
2,2,8,2,0,3,1,1,1,8
1,1,7,1,0,2,0,0,0,7
0,0,6,0,6,1,0,0,0,6
0,0,5,0,5,0,5,5,5,5
3,4,4,4,4,0,4,4,4,4
2,3,3,3,3,0,3,3,3,3
1,2,2,2,2,0,2,2,2,2
0,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0
